Source,Target,Type,Id,Label,Weight,duration,start_date,bike_nr,end_date,subscription_type,zip_code,birth_date,gender
7,7,Directed,594162,NA,416,24,2012-08-21T19:08:00Z,B00567,2012-08-21T19:08:00Z,Registered,NA,1958,Female
7,8,Directed,593460,NA,4,2012,2012-08-21T21:38:00Z,B00491,2012-08-21T22:11:00Z,Registered,NA,1984,Male
7,9,Directed,714029,NA,6,2513,2012-07-03T01:32:00Z,B00003,2012-07-03T02:14:00Z,Registered,NA,1991,Male
7,10,Directed,687792,NA,4,1352,2012-07-13T22:12:00Z,B00361,2012-07-13T22:35:00Z,Registered,NA,1979,Male
7,11,Directed,598743,NA,1,1518,2012-08-20T00:44:00Z,T01369,2012-08-20T01:09:00Z,Registered,NA,NA,Male
7,15,Directed,689889,NA,9,4000,2012-07-13T00:32:00Z,B00596,2012-07-13T01:38:00Z,Casual,NA,NA,NA
7,25,Directed,600815,NA,9,1391,2012-08-19T15:17:00Z,T01255,2012-08-19T15:40:00Z,Registered,NA,1969,Female
7,22,Directed,593137,NA,371,759,2012-08-21T22:42:00Z,B00029,2012-08-21T22:54:00Z,Registered,NA,1964,Female
7,29,Directed,595649,NA,6,2146,2012-08-21T03:55:00Z,T01104,2012-08-21T04:31:00Z,Registered,NA,1991,Male
7,41,Directed,615943,NA,14,2116,2012-08-13T21:18:00Z,T01257,2012-08-13T21:54:00Z,Registered,NA,1983,Male
7,66,Directed,1065256,NA,2,1698,2012-09-04T22:07:00Z,T01436,2012-09-04T22:36:00Z,Registered,NA,1984,Male
7,52,Directed,593312,NA,30,1021,2012-08-21T22:04:00Z,B00492,2012-08-21T22:22:00Z,Registered,NA,1988,Male
7,12,Directed,847207,NA,2,1229,2012-04-18T19:36:00Z,B00399,2012-04-18T19:56:00Z,Casual,NA,NA,NA
7,20,Directed,595717,NA,389,345,2012-08-21T02:04:00Z,B00609,2012-08-21T02:10:00Z,Registered,NA,1977,Male
7,46,Directed,631416,NA,15,958,2012-08-07T21:52:00Z,B00379,2012-08-07T22:08:00Z,Registered,NA,1990,Male
7,24,Directed,600832,NA,38,1612,2012-08-19T15:13:00Z,B00577,2012-08-19T15:40:00Z,Casual,NA,NA,NA
7,23,Directed,594476,NA,84,1196,2012-08-21T17:04:00Z,T01169,2012-08-21T17:24:00Z,Casual,NA,NA,NA
7,34,Directed,999690,NA,1,1647,2012-09-26T20:51:00Z,T01234,2012-09-26T21:19:00Z,Registered,NA,1983,Male
7,33,Directed,607631,NA,28,2581,2012-08-16T20:29:00Z,B00079,2012-08-16T21:12:00Z,Casual,NA,NA,NA
7,45,Directed,709881,NA,14,2410,2012-07-04T20:21:00Z,B00038,2012-07-04T21:02:00Z,Casual,NA,NA,NA
7,5,Directed,936720,NA,2,2924,2011-10-09T22:14:00Z,B00490,2011-10-09T23:03:00Z,Registered,NA,1991,Female
7,30,Directed,903671,NA,2,1999,2011-11-08T23:45:00Z,B00428,2011-11-09T00:18:00Z,Casual,NA,NA,NA
7,31,Directed,621824,NA,90,1391,2012-08-11T17:40:00Z,B00011,2012-08-11T18:03:00Z,Registered,NA,1957,Female
7,32,Directed,598590,NA,6,1363,2012-08-20T03:11:00Z,B00231,2012-08-20T03:34:00Z,Registered,NA,1990,Male
7,53,Directed,592468,NA,19,1346,2012-08-22T03:08:00Z,T01389,2012-08-22T03:30:00Z,Casual,NA,NA,NA
7,55,Directed,658446,NA,10,1728,2012-07-26T23:45:00Z,B00429,2012-07-27T00:14:00Z,Casual,NA,NA,NA
7,62,Directed,813027,NA,1,3154,2012-05-12T17:54:00Z,B00516,2012-05-12T18:46:00Z,Casual,NA,NA,NA
7,4,Directed,628211,NA,31,943,2012-08-08T22:38:00Z,B00615,2012-08-08T22:54:00Z,Registered,NA,1983,Male
7,27,Directed,823416,NA,6,1406,2012-05-05T04:50:00Z,B00164,2012-05-05T05:13:00Z,Registered,NA,1985,Female
7,13,Directed,625065,NA,9,1294,2012-08-10T00:14:00Z,T01147,2012-08-10T00:36:00Z,Casual,NA,NA,NA
7,16,Directed,634112,NA,43,1100,2012-08-06T22:52:00Z,B00070,2012-08-06T23:10:00Z,Registered,NA,1975,Male
7,57,Directed,639258,NA,15,1468,2012-08-04T21:11:00Z,B00249,2012-08-04T21:36:00Z,Registered,NA,1987,Female
7,39,Directed,599719,NA,10,1984,2012-08-19T19:43:00Z,T01306,2012-08-19T20:16:00Z,Casual,NA,NA,NA
7,21,Directed,621764,NA,26,5823,2012-08-11T18:01:00Z,T01400,2012-08-11T19:38:00Z,Casual,NA,NA,NA
7,61,Directed,593350,NA,17,994,2012-08-21T21:57:00Z,B00191,2012-08-21T22:14:00Z,Registered,NA,1990,Male
7,63,Directed,594263,NA,71,614,2012-08-21T18:26:00Z,T01214,2012-08-21T18:36:00Z,Registered,NA,1976,Female
7,64,Directed,596577,NA,104,167,2012-08-20T21:36:00Z,B00480,2012-08-20T21:39:00Z,Registered,NA,1984,Male
7,6,Directed,603237,NA,56,872,2012-08-18T03:08:00Z,B00174,2012-08-18T03:22:00Z,Casual,NA,NA,NA
7,37,Directed,1089430,NA,1,1653,2012-08-27T02:41:00Z,B00467,2012-08-27T03:09:00Z,Casual,NA,NA,NA
7,26,Directed,613121,NA,26,1014,2012-08-14T20:20:00Z,B00271,2012-08-14T20:37:00Z,Registered,NA,1978,Male
7,38,Directed,593816,NA,502,740,2012-08-21T20:45:00Z,T01291,2012-08-21T20:57:00Z,Registered,NA,1952,Male
7,35,Directed,597495,NA,105,364,2012-08-20T16:59:00Z,B00565,2012-08-20T17:05:00Z,Registered,NA,1990,Male
7,36,Directed,596549,NA,58,1120,2012-08-20T21:41:00Z,B00005,2012-08-20T22:00:00Z,Registered,NA,1974,Male
7,40,Directed,593723,NA,226,449,2012-08-21T21:01:00Z,T01322,2012-08-21T21:09:00Z,Registered,NA,1988,Female
7,42,Directed,598622,NA,72,1204,2012-08-20T02:39:00Z,B00148,2012-08-20T02:59:00Z,Casual,NA,NA,NA
